WABBLES
Accuracy,F-Score,Precision,Sensitivity,Specificity,TP,TN,FP,FN,Epoch time (segs)
,Gradient Descent Test Data
,Gradient Descent Epoch (GDE),Total error,Accuracy,F-Score,Precision,Recall,Specificity,TP,TN,FP,FN
,1,838437.0117921905,93.53,93.89,88.53,99.95,87.15,1991,1750,258,1
,2,270673.7363808646,93.88,94.2,89.19,99.8,88.0,1988,1767,241,4
,3,211722.9523553283,94.12,94.41,89.73,99.6,88.7,1984,1781,227,8
,4,188279.42979398006,94.27,94.53,90.12,99.4,89.19,1980,1791,217,12
,5,174754.5043836047,94.42,94.66,90.55,99.15,89.74,1975,1802,206,17
94.42,94.66,90.55,99.15,89.74,1975,1802,206,17,406.35
,Gradient Descent Test Data
,Gradient Descent Epoch (GDE),Total error,Accuracy,F-Score,Precision,Recall,Specificity,TP,TN,FP,FN
,1,1027784.9166590594,93.95,94.43,89.45,100.0,87.58,2051,1707,242,0
,2,384578.42597340664,93.95,94.43,89.45,100.0,87.58,2051,1707,242,0
,3,277616.1307356135,93.95,94.43,89.45,100.0,87.58,2051,1707,242,0
,4,247197.4699575009,93.95,94.43,89.45,100.0,87.58,2051,1707,242,0
,5,232840.6258378166,93.95,94.43,89.45,100.0,87.58,2051,1707,242,0
93.95,94.43,89.45,100.0,87.58,2051,1707,242,0,1288.06
Min results
93.95,94.43,89.45,99.15,87.58
Max results
94.42,94.66,90.55,100.0,89.74
Averaged results
94.19,94.54,90.0,99.57,88.66,1694.52
Epoch saved,Testing accuracy saved
1,93.95
